順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
751,6335,東証1部,(株)東京機械製作所,09:00,363,2020/03,11.00,3.03%,掲示板
752,6345,東証1部,(株)アイチコーポレーション,09:34,725,2020/03,22.00,3.03%,掲示板
753,6489,東証1部,前澤工業(株),09:02,396,2020/05,12.00,3.03%,掲示板
754,8184,東証1部,(株)島忠,09:33,"3,300",2020/08,100.00,3.03%,掲示板
755,2353,東証1部,日本駐車場開発(株),09:32,149,2020/07,4.50,3.02%,掲示板
756,5970,東証1部,(株)ジーテクト,09:34,"1,592",2020/03,48.00,3.02%,掲示板
757,6590,東証1部,芝浦メカトロニクス(株),09:34,"3,645",2020/03,110.00,3.02%,掲示板
758,7426,東証JQS,(株)山大,01/31,828,2020/03,25.00,3.02%,掲示板
759,7686,東証2部,(株)カクヤス,09:34,"1,648",2020/03,49.80,3.02%,掲示板
760,3407,東証1部,旭化成(株),09:34,"1,194.5",2020/03,36.00,3.01%,掲示板
761,3712,東証2部,(株)情報企画,09:24,"2,660",2020/09,80.00,3.01%,掲示板
762,6569,東証1部,日総工産(株),09:34,830,2020/03,25.00,3.01%,掲示板
763,6859,東証1部,エスペック(株),09:33,"2,259",2020/03,68.00,3.01%,掲示板
764,6877,東証1部,ＯＢＡＲＡ　ＧＲＯＵＰ(株),09:33,"3,660",2020/09,110.00,3.01%,掲示板
765,7012,東証1部,川崎重工業(株),09:34,"2,325",2020/03,70.00,3.01%,掲示板
766,3695,マザーズ,ＧＭＯリサーチ(株),09:29,"1,553",2020/12,46.61,3.00%,掲示板
767,4840,東証JQG,(株)トライアイズ,09:32,500,2019/12,15.00,3.00%,掲示板
768,4973,東証1部,日本高純度化学(株),09:00,"2,669",2020/03,80.00,3.00%,掲示板
769,6292,東証1部,(株)カワタ,09:34,"1,000",2020/03,30.00,3.00%,掲示板
770,6894,東証2部,パルステック工業(株),09:32,"2,499",2020/03,75.00,3.00%,掲示板
771,7597,東証JQS,東京貴宝(株),09:21,"2,671",2020/03,80.00,3.00%,掲示板
772,7808,東証JQS,(株)シー・エス・ランバー,09:28,"1,667",2020/05,50.00,3.00%,掲示板
773,7994,東証1部,(株)オカムラ,09:33,"1,068",2020/03,32.00,3.00%,掲示板
774,8044,東証2部,大都魚類(株),02/06,999,2020/03,30.00,3.00%,掲示板
775,8085,東証2部,ナラサキ産業(株),09:34,"1,999",2020/03,60.00,3.00%,掲示板
776,8361,東証1部,(株)大垣共立銀行,09:27,"2,337",2020/03,70.00,3.00%,掲示板
777,1934,東証1部,(株)ユアテック,09:34,669,2020/03,20.00,2.99%,掲示板
778,3131,東証JQS,シンデン・ハイテックス(株),09:32,"1,507",2020/03,45.00,2.99%,掲示板
779,3168,東証1部,黒谷(株),09:00,501,2020/08,15.00,2.99%,掲示板
780,4550,東証1部,日水製薬(株),09:29,"1,339",2020/03,40.00,2.99%,掲示板
781,5464,東証1部,モリ工業(株),09:33,"3,010",2020/03,90.00,2.99%,掲示板
782,6298,東証1部,ワイエイシイホールディングス(株),09:34,668,2020/03,20.00,2.99%,掲示板
783,7840,東証1部,フランスベッドホールディングス(株),09:30,938,2020/03,28.00,2.99%,掲示板
784,8367,東証1部,(株)南都銀行,09:31,"2,675",2020/03,80.00,2.99%,掲示板
785,1379,東証1部,ホクト(株),09:33,"2,012",2020/03,60.00,2.98%,掲示板
786,1793,東証JQS,(株)大本組,09:17,"5,040",2020/03,150.00,2.98%,掲示板
787,3123,東証2部,サイボー(株),09:29,470,2020/03,14.00,2.98%,掲示板
788,9799,東証2部,旭情報サービス(株),09:27,"1,277",2020/03,38.00,2.98%,掲示板
789,9945,東証1部,(株)プレナス,09:33,"2,012",2020/02,60.00,2.98%,掲示板
790,3495,東証JQS,香陵住販(株),09:17,"1,551",2020/09,46.00,2.97%,掲示板
791,6543,東証JQS,(株)日宣,09:00,"1,413",2020/02,42.00,2.97%,掲示板
792,7455,東証1部,(株)三城ホールディングス,09:32,337,2020/03,10.00,2.97%,掲示板
793,7483,東証1部,(株)ドウシシャ,09:33,"1,682",2020/03,50.00,2.97%,掲示板
794,8362,東証1部,(株)福井銀行,09:33,"1,684",2020/03,50.00,2.97%,掲示板
795,8940,東証1部,(株)インテリックス,09:02,741,2020/05,22.00,2.97%,掲示板
796,9534,東証1部,北海道ガス(株),09:00,"1,686",2020/03,50.00,2.97%,掲示板
797,9651,東証JQS,日本プロセス(株),09:33,874,2020/05,26.00,2.97%,掲示板
798,2107,東証1部,東洋精糖(株),09:15,"1,184",2020/03,35.00,2.96%,掲示板
799,4216,東証1部,旭有機材(株),09:34,"1,691",2020/03,50.00,2.96%,掲示板
800,5208,東証1部,(株)有沢製作所,09:33,"1,013",2020/03,30.00,2.96%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
