順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
201,1982,東証1部,日比谷総合設備(株),09:32,"1,945",2020/03,80.00,4.11%,掲示板
202,3948,東証JQS,光ビジネスフォーム(株),09:34,438,2019/12,18.00,4.11%,掲示板
203,8379,東証1部,(株)広島銀行,09:32,547,2020/03,22.50,4.11%,掲示板
204,8892,東証1部,(株)日本エスコン,09:33,925,2020/12,38.00,4.11%,掲示板
205,8007,東証1部,高島(株),09:19,"1,953",2020/03,80.00,4.10%,掲示板
206,1994,東証JQS,高橋カーテンウォール工業(株),09:00,734,2019/12,30.00,4.09%,掲示板
207,7467,東証1部,萩原電気ホールディングス(株),09:30,"2,566",2020/03,105.00,4.09%,掲示板
208,1814,東証1部,大末建設(株),09:31,980,2020/03,40.00,4.08%,掲示板
209,4061,東証1部,デンカ(株),09:34,"3,065",2020/03,125.00,4.08%,掲示板
210,9446,東証JQS,(株)サカイホールディングス,09:00,612,2020/09,25.00,4.08%,掲示板
211,5210,東証1部,日本山村硝子(株),09:32,"1,228",2020/03,50.00,4.07%,掲示板
212,6357,東証2部,三精テクノロジーズ(株),09:21,861,2020/03,35.00,4.07%,掲示板
213,3023,東証1部,ラサ商事(株),09:34,936,2020/03,38.00,4.06%,掲示板
214,6113,東証1部,(株)アマダホールディングス,09:33,"1,183",2020/03,48.00,4.06%,掲示板
215,8886,東証JQS,(株)ウッドフレンズ,02/06,"2,709",2020/05,110.00,4.06%,掲示板
216,7995,東証1部,(株)バルカー,09:31,"2,471",2020/03,100.00,4.05%,掲示板
217,1852,東証1部,(株)淺沼組,09:34,"5,150",2020/03,208.00,4.04%,掲示板
218,1941,東証1部,(株)中電工,09:34,"2,576",2020/03,104.00,4.04%,掲示板
219,3817,東証1部,(株)ＳＲＡホールディングス,09:30,"2,726",2020/03,110.00,4.04%,掲示板
220,6349,東証1部,(株)小森コーポレーション,09:34,990,2020/03,40.00,4.04%,掲示板
221,8031,東証1部,三井物産(株),09:32,"1,978",2020/03,80.00,4.04%,掲示板
222,1808,東証1部,(株)長谷工コーポレーション,09:34,"1,490",2020/03,60.00,4.03%,掲示板
223,3597,東証2部,(株)自重堂,02/06,"7,450",2020/06,300.00,4.03%,掲示板
224,4208,東証1部,宇部興産(株),09:34,"2,231",2020/03,90.00,4.03%,掲示板
225,6419,東証1部,(株)マースグループホールディングス,09:31,"1,985",2020/03,80.00,4.03%,掲示板
226,6919,東証JQS,ケル(株),09:24,896,2020/03,36.00,4.02%,掲示板
227,7321,東証1部,(株)関西みらいフィナンシャルグループ,09:32,622,2020/03,25.00,4.02%,掲示板
228,3553,東証1部,共和レザー(株),09:00,798,2020/03,32.00,4.01%,掲示板
229,5108,東証1部,(株)ブリヂストン,09:34,"3,995",2019/12,160.00,4.01%,掲示板
230,6763,東証1部,帝国通信工業(株),09:00,"1,246",2020/03,50.00,4.01%,掲示板
231,8150,東証1部,三信電気(株),09:30,"1,745",2020/03,70.00,4.01%,掲示板
232,9366,東証1部,(株)サンリツ,09:00,699,2020/03,28.00,4.01%,掲示板
233,9932,東証1部,杉本商事(株),09:15,"1,997",2020/03,80.00,4.01%,掲示板
234,3254,東証1部,(株)プレサンスコーポレーション,09:34,"1,300",2020/03,52.00,4.00%,掲示板
235,4502,東証1部,武田薬品工業(株),09:34,"4,505",2020/03,180.00,4.00%,掲示板
236,7472,東証JQS,(株)鳥羽洋行,09:00,"3,000",2020/03,120.00,4.00%,掲示板
237,2461,東証1部,(株)ファンコミュニケーションズ,09:30,476,2019/12,19.00,3.99%,掲示板
238,3447,東証1部,信和(株),09:33,"1,103",2020/03,44.00,3.99%,掲示板
239,7181,東証1部,(株)かんぽ生命保険,09:33,"1,905",2020/03,76.00,3.99%,掲示板
240,1833,東証1部,(株)奥村組,09:34,"2,887",2020/03,115.00,3.98%,掲示板
241,8242,東証1部,エイチ・ツー・オー　リテイリング(株),09:32,"1,005",2020/03,40.00,3.98%,掲示板
242,8725,東証1部,ＭＳ＆ＡＤインシュアランスグループホールディングス(株),09:33,"3,769",2020/03,150.00,3.98%,掲示板
243,2362,東証JQS,(株)夢真ホールディングス,09:34,882,2020/09,35.00,3.97%,掲示板
244,7812,東証2部,(株)クレステック,09:00,"1,210",2020/06,48.00,3.97%,掲示板
245,7901,東証JQS,(株)マツモト,02/03,"2,519",2020/04,100.00,3.97%,掲示板
246,8140,東証1部,(株)リョーサン,09:33,"2,521",2020/03,100.00,3.97%,掲示板
247,3241,東証2部,(株)ウィル,09:29,341,2019/12,13.50,3.96%,掲示板
248,8995,東証2部,(株)誠建設工業,09:18,631,2020/03,25.00,3.96%,掲示板
249,3493,東証,伊藤忠アドバンス・ロジスティクス投資法人,09:33,"123,400",2020/07,"4,879.00",3.95%,掲示板
250,6417,東証1部,(株)ＳＡＮＫＹＯ,09:34,"3,810",2020/03,150.00,3.94%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
