順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
601,7510,東証1部,(株)たけびし,09:00,"1,484",2020/03,48.00,3.23%,掲示板
602,9028,東証2部,(株)ゼロ,09:23,"1,072",2020/06,34.60,3.23%,掲示板
603,2003,東証1部,日東富士製粉(株),09:29,"6,330",2020/03,204.00,3.22%,掲示板
604,3608,東証1部,(株)ＴＳＩホールディングス,09:32,544,2020/02,17.50,3.22%,掲示板
605,4229,東証1部,群栄化学工業(株),02/06,"2,485",2020/03,80.00,3.22%,掲示板
606,4714,東証1部,(株)リソー教育,09:33,373,2020/02,12.00,3.22%,掲示板
607,5367,東証1部,(株)ニッカトー,09:32,683,2020/03,22.00,3.22%,掲示板
608,5391,東証1部,(株)エーアンドエーマテリアル,09:30,"1,552",2020/03,50.00,3.22%,掲示板
609,6463,東証1部,ＴＰＲ(株),09:33,"1,866",2020/03,60.00,3.22%,掲示板
610,7435,東証JQS,(株)ナ・デックス,09:22,900,2020/04,29.00,3.22%,掲示板
611,7628,東証1部,(株)オーハシテクニカ,09:28,"1,616",2020/03,52.00,3.22%,掲示板
612,8144,東証2部,(株)電響社,02/06,"1,242",2020/03,40.00,3.22%,掲示板
613,1867,東証1部,(株)植木組,09:00,"2,494",2020/03,80.00,3.21%,掲示板
614,3252,東証1部,日本商業開発(株),09:28,"1,715",2020/03,55.00,3.21%,掲示板
615,8008,東証1部,４℃ホールディングス,09:33,"2,490",2020/02,80.00,3.21%,掲示板
616,8059,東証1部,第一実業(株),09:34,"3,735",2020/03,120.00,3.21%,掲示板
617,8359,東証1部,(株)八十二銀行,09:26,436,2020/03,14.00,3.21%,掲示板
618,9119,東証1部,飯野海運(株),09:33,374,2020/03,12.00,3.21%,掲示板
619,9507,東証1部,四国電力(株),09:34,934,2020/03,30.00,3.21%,掲示板
620,9788,東証1部,(株)ナック,09:33,"1,120",2020/03,36.00,3.21%,掲示板
621,3234,東証,森ヒルズリート投資法人,09:32,"179,500",2020/07,"5,740.00",3.20%,掲示板
622,4623,東証2部,(株)アサヒペン,09:00,"1,720",2020/03,55.00,3.20%,掲示板
623,5923,東証1部,高田機工(株),09:29,"2,810",2020/03,90.00,3.20%,掲示板
624,5969,東証2部,(株)ロブテックス,02/05,"2,190",2020/03,70.00,3.20%,掲示板
625,6392,東証2部,(株)ヤマダコーポレーション,09:05,"2,720",2020/03,87.00,3.20%,掲示板
626,8001,東証1部,伊藤忠商事(株),09:34,"2,659",2020/03,85.00,3.20%,掲示板
627,8051,東証1部,(株)山善,09:34,"1,048",2020/03,33.50,3.20%,掲示板
628,9624,東証1部,(株)長大,09:29,"1,250",2020/09,40.00,3.20%,掲示板
629,5933,東証1部,アルインコ(株),09:32,"1,190",2020/03,38.00,3.19%,掲示板
630,6142,名証2部,富士精工(株),09:00,"1,565",2020/02,50.00,3.19%,掲示板
631,6507,東証1部,シンフォニアテクノロジー(株),09:32,"1,252",2020/03,40.00,3.19%,掲示板
632,6863,東証JQS,(株)ニレコ,09:34,"1,065",2020/03,34.00,3.19%,掲示板
633,7227,名証2部,アスカ(株),02/06,941,2020/11,30.00,3.19%,掲示板
634,7264,東証JQS,(株)ムロコーポレーション,09:00,"1,381",2020/03,44.00,3.19%,掲示板
635,7609,東証1部,ダイトロン(株),09:33,"1,883",2020/12,60.00,3.19%,掲示板
636,8739,東証1部,スパークス・グループ(株),09:33,282,2020/03,9.00,3.19%,掲示板
637,9502,東証1部,中部電力(株),09:34,"1,569",2020/03,50.00,3.19%,掲示板
638,3228,東証1部,(株)三栄建築設計,09:34,"1,508",2020/08,48.00,3.18%,掲示板
639,4008,東証1部,住友精化(株),09:31,"3,145",2020/03,100.00,3.18%,掲示板
640,4649,名証2部,大成(株),02/05,786,2020/03,25.00,3.18%,掲示板
641,4752,東証JQS,(株)昭和システムエンジニアリング,09:11,754,2020/03,24.00,3.18%,掲示板
642,6648,東証JQS,(株)かわでん,02/05,"2,515",2020/03,80.00,3.18%,掲示板
643,7717,東証1部,(株)ブイ・テクノロジー,09:34,"5,030",2020/03,160.00,3.18%,掲示板
644,8929,東証2部,(株)青山財産ネットワークス,09:29,"1,669",2020/12,53.00,3.18%,掲示板
645,8972,東証,ケネディクス・オフィス投資法人,09:32,"879,000",2020/04,"27,960.00",3.18%,掲示板
646,1925,東証1部,大和ハウス工業(株),09:34,"3,626",2020/03,115.00,3.17%,掲示板
647,2734,東証1部,(株)サーラコーポレーション,09:33,630,2020/11,20.00,3.17%,掲示板
648,5959,東証1部,岡部(株),09:33,884,2019/12,28.00,3.17%,掲示板
649,6623,名証1部,愛知電機(株),09:00,"2,838",2020/03,90.00,3.17%,掲示板
650,6988,東証1部,日東電工(株),09:34,"6,300",2020/03,200.00,3.17%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
