順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
801,9513,東証1部,Ｊ−ＰＯＷＥＲ,09:34,"2,537",2020/03,75.00,2.96%,掲示板
802,9709,東証2部,ＮＣＳ＆Ａ(株),09:34,811,2020/03,24.00,2.96%,掲示板
803,1381,東証JQS,(株)アクシーズ,09:00,"2,626",2020/06,77.50,2.95%,掲示板
804,1826,東証1部,佐田建設(株),09:30,441,2020/03,13.00,2.95%,掲示板
805,4839,東証1部,(株)ＷＯＷＯＷ,09:34,"2,714",2020/03,80.00,2.95%,掲示板
806,6331,東証1部,三菱化工機(株),09:27,"2,036",2020/03,60.00,2.95%,掲示板
807,8130,東証1部,(株)サンゲツ,09:34,"1,929",2020/03,57.00,2.95%,掲示板
808,8537,東証1部,(株)大光銀行,09:00,"1,693",2020/03,50.00,2.95%,掲示板
809,8908,東証1部,(株)毎日コムネット,09:27,950,2020/05,28.00,2.95%,掲示板
810,9466,東証1部,(株)アイドママーケティングコミュニケーション,09:26,611,2020/03,18.00,2.95%,掲示板
811,1892,名証2部,徳倉建設(株),02/05,"3,400",2020/03,100.00,2.94%,掲示板
812,2687,東証1部,(株)シー・ヴイ・エス・ベイエリア,09:17,681,2020/02,20.00,2.94%,掲示板
813,4206,東証1部,アイカ工業(株),09:34,"3,610",2020/03,106.00,2.94%,掲示板
814,4762,東証1部,(株)エックスネット,09:31,953,2020/03,28.00,2.94%,掲示板
815,7291,東証1部,日本プラスト(株),09:33,680,2020/03,20.00,2.94%,掲示板
816,7615,東証1部,京都きもの友禅(株),09:14,340,2020/03,10.00,2.94%,掲示板
817,8215,東証JQS,(株)銀座山形屋,09:00,"1,699",2020/03,50.00,2.94%,掲示板
818,8416,東証1部,(株)高知銀行,09:21,850,2020/03,25.00,2.94%,掲示板
819,3105,東証1部,日清紡ホールディングス(株),09:34,"1,024",2019/12,30.00,2.93%,掲示板
820,3231,東証1部,野村不動産ホールディングス(株),09:33,"2,730",2020/03,80.00,2.93%,掲示板
821,4318,東証1部,(株)クイック,09:34,"1,503",2020/03,44.00,2.93%,掲示板
822,4409,東証2部,東邦化学工業(株),09:03,512,2020/03,15.00,2.93%,掲示板
823,6328,東証1部,荏原実業(株),09:34,"2,049",2019/12,60.00,2.93%,掲示板
824,7863,東証JQS,(株)平賀,09:32,512,2020/03,15.00,2.93%,掲示板
825,1813,東証1部,(株)不動テトラ,09:34,"1,715",2020/03,50.00,2.92%,掲示板
826,1860,東証1部,戸田建設(株),09:33,754,2020/03,22.00,2.92%,掲示板
827,1893,東証1部,五洋建設(株),09:34,686,2020/03,20.00,2.92%,掲示板
828,3184,東証2部,ＩＣＤＡホールディングス(株),02/06,"1,715",2020/03,50.00,2.92%,掲示板
829,4094,東証2部,日本化学産業(株),09:23,"1,027",2020/03,30.00,2.92%,掲示板
830,7279,東証2部,(株)ハイレックスコーポレーション,09:32,"1,814",2020/10,53.00,2.92%,掲示板
831,7606,東証1部,(株)ユナイテッドアローズ,09:34,"2,840",2020/03,83.00,2.92%,掲示板
832,7775,東証1部,大研医器(株),09:33,685,2020/03,20.00,2.92%,掲示板
833,7916,東証1部,光村印刷(株),09:04,"1,713",2020/03,50.00,2.92%,掲示板
834,9760,東証1部,(株)進学会ホールディングス,09:26,514,2020/03,15.00,2.92%,掲示板
835,4231,東証1部,タイガースポリマー(株),09:00,585,2020/03,17.00,2.91%,掲示板
836,5905,東証2部,日本製罐(株),02/05,"1,030",2020/03,30.00,2.91%,掲示板
837,6467,東証JQS,(株)ニチダイ,09:31,687,2020/03,20.00,2.91%,掲示板
838,6890,東証JQS,(株)フェローテックホールディングス,09:34,825,2020/03,24.00,2.91%,掲示板
839,9040,名証2部,大宝運輸(株),09:03,"3,435",2020/03,100.00,2.91%,掲示板
840,9511,東証1部,沖縄電力(株),09:33,"2,065",2020/03,60.00,2.91%,掲示板
841,1890,東証1部,東洋建設(株),09:34,518,2020/03,15.00,2.90%,掲示板
842,1939,東証1部,(株)四電工,02/06,"2,763",2020/03,80.00,2.90%,掲示板
843,1975,東証1部,(株)朝日工業社,09:00,"3,445",2020/03,100.00,2.90%,掲示板
844,4064,東証1部,日本カーバイド工業(株),09:33,"1,380",2020/03,40.00,2.90%,掲示板
845,4401,東証1部,(株)ＡＤＥＫＡ,09:34,"1,653",2020/03,48.00,2.90%,掲示板
846,4619,東証1部,日本特殊塗料(株),09:33,"1,380",2020/03,40.00,2.90%,掲示板
847,8012,東証1部,長瀬産業(株),09:34,"1,516",2020/03,44.00,2.90%,掲示板
848,8281,東証1部,ゼビオホールディングス(株),09:33,"1,205",2020/03,35.00,2.90%,掲示板
849,8341,東証1部,(株)七十七銀行,09:34,"1,722",2020/03,50.00,2.90%,掲示板
850,1951,東証1部,(株)協和エクシオ,09:34,"2,767",2020/03,80.00,2.89%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
