順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
1,7404,東証2部,昭和飛行機工業(株),09:32,"2,124",2020/03,636.00,29.94%,掲示板
2,6810,東証1部,マクセルホールディングス(株),09:31,"1,468",2020/03,286.00,19.48%,掲示板
3,8103,東証1部,明和産業(株),09:29,608,2020/03,56.00,9.21%,掲示板
4,8219,東証1部,青山商事(株),09:32,"1,430",2020/03,100.00,6.99%,掲示板
5,2914,東証1部,ＪＴ,09:33,"2,299",2020/12,154.00,6.70%,掲示板
6,7224,東証1部,新明和工業(株),09:33,"1,334",2020/03,87.00,6.52%,掲示板
7,8963,東証,インヴィンシブル投資法人,09:33,"55,700",2020/06,"3,459.00",6.21%,掲示板
8,6464,東証1部,(株)ツバキ・ナカシマ,09:32,"1,339",2019/12,81.00,6.05%,掲示板
9,2411,東証JQS,ゲンダイエージェンシー(株),09:00,419,2020/03,25.00,5.97%,掲示板
10,7148,東証1部,(株)ＦＰＧ,09:33,"1,008",2020/09,60.10,5.96%,掲示板
11,2121,マザーズ,(株)ミクシィ,09:32,"1,910",2020/03,110.00,5.76%,掲示板
12,5019,東証1部,出光興産(株),09:33,"2,815",2020/03,160.00,5.68%,掲示板
13,3242,東証JQS,(株)アーバネットコーポレーション,09:30,354,2020/06,20.00,5.65%,掲示板
14,9904,東証2部,(株)ベリテ,09:32,353,2020/03,19.94,5.65%,掲示板
15,9434,東証1部,ソフトバンク(株),09:33,"1,512.5",2020/03,85.00,5.62%,掲示板
16,3271,東証1部,(株)ＴＨＥグローバル社,09:32,459,2020/06,25.00,5.45%,掲示板
17,6032,東証1部,(株)インターワークス,09:33,551,2020/03,30.00,5.44%,掲示板
18,3470,東証,マリモ地方創生リート投資法人,09:32,"130,000",2020/06,"6,970.00",5.36%,掲示板
19,3476,東証,投資法人みらい,09:32,"60,300",2020/04,"3,170.00",5.26%,掲示板
20,5302,東証1部,日本カーボン(株),09:30,"3,805",2019/12,200.00,5.26%,掲示板
21,3451,東証,トーセイ・リート投資法人,09:28,"135,500",2020/04,"7,100.00",5.24%,掲示板
22,6257,東証JQS,(株)藤商事,09:30,956,2020/03,50.00,5.23%,掲示板
23,7442,東証1部,中山福(株),09:27,518,2020/03,27.00,5.21%,掲示板
24,7245,東証1部,大同メタル工業(株),09:33,676,2020/03,35.00,5.18%,掲示板
25,2971,東証,エスコンジャパンリート投資法人,09:33,"130,800",2020/07,"6,753.00",5.16%,掲示板
26,3492,東証,タカラレーベン不動産投資法人,09:32,"130,600",2020/02,"6,740.00",5.16%,掲示板
27,4188,東証1部,(株)三菱ケミカルホールディングス,09:33,775.3,2020/03,40.00,5.16%,掲示板
28,5707,東証1部,東邦亜鉛(株),09:33,"1,945",2020/03,100.00,5.14%,掲示板
29,6461,東証1部,日本ピストンリング(株),09:30,"1,462",2020/03,75.00,5.13%,掲示板
30,5015,東証1部,ビーピー・カストロール(株),09:28,"1,464",2019/12,75.00,5.12%,掲示板
31,8304,東証1部,(株)あおぞら銀行,09:31,"3,055",2020/03,156.00,5.11%,掲示板
32,6486,東証1部,イーグル工業(株),09:33,986,2020/03,50.00,5.07%,掲示板
33,7270,東証1部,(株)ＳＵＢＡＲＵ,09:33,"2,837.5",2020/03,144.00,5.07%,掲示板
34,8985,東証,ジャパン・ホテル・リート投資法人,09:33,"74,100",2020/12,"3,750.00",5.06%,掲示板
35,9268,東証2部,(株)オプティマスグループ,09:02,951,2020/03,48.00,5.05%,掲示板
36,3472,東証,大江戸温泉リート投資法人,09:29,"92,100",2020/05,"4,640.00",5.04%,掲示板
37,8835,東証1部,太平洋興発(株),09:27,798,2020/03,40.00,5.01%,掲示板
38,3284,東証1部,(株)フージャースホールディングス,09:32,703,2020/03,35.00,4.98%,掲示板
39,7837,東証JQS,(株)アールシーコア,09:00,"1,004",2020/03,50.00,4.98%,掲示板
40,8628,東証1部,松井証券(株),09:31,903,2020/03,45.00,4.98%,掲示板
41,7822,東証1部,永大産業(株),09:30,342,2020/03,17.00,4.97%,掲示板
42,6306,東証1部,日工(株),09:32,807,2020/03,40.00,4.96%,掲示板
43,7214,東証1部,ＧＭＢ(株),02/06,811,2020/03,40.00,4.93%,掲示板
44,8091,東証1部,ニチモウ(株),09:31,"2,029",2020/03,100.00,4.93%,掲示板
45,8737,東証2部,(株)あかつき本社,09:30,365,2020/03,18.00,4.93%,掲示板
46,8887,東証JQS,リベレステ(株),09:33,915,2020/05,45.00,4.92%,掲示板
47,5410,東証1部,合同製鐵(株),09:33,"2,972",2020/03,145.00,4.88%,掲示板
48,3468,東証,スターアジア不動産投資法人,09:29,"113,700",2020/07,"5,540.00",4.87%,掲示板
49,8185,東証1部,(株)チヨダ,09:33,"1,518",2020/02,74.00,4.87%,掲示板
50,3287,東証,星野リゾート・リート投資法人,09:29,"546,000",2020/04,"26,474.00",4.85%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
