順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
151,8002,東証1部,丸紅(株),09:33,808.7,2020/03,35.00,4.33%,掲示板
152,8133,東証1部,伊藤忠エネクス(株),09:33,970,2020/03,42.00,4.33%,掲示板
153,1898,東証1部,世紀東急工業(株),09:32,926,2020/03,40.00,4.32%,掲示板
154,3244,東証1部,サムティ(株),09:34,"1,896",2020/11,82.00,4.32%,掲示板
155,6540,東証1部,(株)船場,09:00,"1,041",2019/12,45.00,4.32%,掲示板
156,7327,東証1部,(株)第四北越フィナンシャルグループ,09:29,"2,780",2020/03,120.00,4.32%,掲示板
157,8306,東証1部,(株)三菱ＵＦＪフィナンシャル・グループ,09:33,578.6,2020/03,25.00,4.32%,掲示板
158,1518,東証1部,三井松島ホールディングス(株),09:34,"1,161",2020/03,50.00,4.31%,掲示板
159,3488,東証,ザイマックス・リート投資法人,09:30,"139,200",2020/02,"6,005.00",4.31%,掲示板
160,6373,東証1部,大同工業(株),09:21,813,2020/03,35.00,4.31%,掲示板
161,7420,東証1部,佐鳥電機(株),09:15,884,2020/05,38.00,4.30%,掲示板
162,8068,東証1部,菱洋エレクトロ(株),09:33,"1,862",2020/01,80.00,4.30%,掲示板
163,3388,東証1部,明治電機工業(株),09:26,"1,515",2020/03,65.00,4.29%,掲示板
164,6411,東証JQS,中野冷機(株),09:14,"7,000",2020/12,300.00,4.29%,掲示板
165,3473,東証,さくら総合リート投資法人,09:30,"94,800",2020/06,"4,058.00",4.28%,掲示板
166,7272,東証1部,ヤマハ発動機(株),09:33,"2,104",2019/12,90.00,4.28%,掲示板
167,3465,東証1部,ケイアイスター不動産(株),09:33,"1,968",2020/03,84.00,4.27%,掲示板
168,3487,東証,CREロジスティクスファンド投資法人,09:34,"147,500",2020/06,"6,303.00",4.27%,掲示板
169,3292,東証,イオンリート投資法人,09:32,"146,400",2020/07,"6,240.00",4.26%,掲示板
170,7971,東証1部,東リ(株),09:32,305,2020/03,13.00,4.26%,掲示板
171,8511,東証1部,日本証券金融(株),09:25,518,2020/03,22.00,4.25%,掲示板
172,1853,東証2部,(株)森組,09:30,330,2020/03,14.00,4.24%,掲示板
173,4228,東証1部,積水化成品工業(株),09:34,707,2020/03,30.00,4.24%,掲示板
174,8354,東証1部,(株)ふくおかフィナンシャルグループ,09:32,"2,006",2020/03,85.00,4.24%,掲示板
175,8903,東証JQS,(株)サンウッド,09:25,589,2020/03,25.00,4.24%,掲示板
176,5703,東証1部,日本軽金属ホールディングス(株),09:34,213,2020/03,9.00,4.23%,掲示板
177,6471,東証1部,日本精工(株),09:33,948,2020/03,40.00,4.22%,掲示板
178,3156,東証1部,(株)レスターホールディングス,09:34,"1,901",2020/03,80.00,4.21%,掲示板
179,6932,東証1部,(株)遠藤照明,09:08,714,2020/03,30.00,4.20%,掲示板
180,8074,東証1部,ユアサ商事(株),09:26,"3,570",2020/03,150.00,4.20%,掲示板
181,8139,東証2部,(株)ナガホリ,09:25,238,2020/03,10.00,4.20%,掲示板
182,1764,東証2部,工藤建設(株),09:00,"2,389",2020/06,100.00,4.19%,掲示板
183,5351,東証1部,品川リフラクトリーズ(株),09:30,"3,105",2020/03,130.00,4.19%,掲示板
184,1873,東証1部,(株)日本ハウスホールディングス,09:31,479,2020/10,20.00,4.18%,掲示板
185,6617,東証1部,(株)東光高岳,09:33,"1,197",2020/03,50.00,4.18%,掲示板
186,3248,東証2部,(株)アールエイジ,09:17,671,2020/10,28.00,4.17%,掲示板
187,7551,東証JQS,(株)ウェッズ,09:15,600,2020/03,25.00,4.17%,掲示板
188,3286,マザーズ,トラストホールディングス(株),09:04,394,2020/06,16.40,4.16%,掲示板
189,6643,東証2部,(株)戸上電機製作所,09:32,"1,922",2020/03,80.00,4.16%,掲示板
190,3321,東証1部,ミタチ産業(株),09:00,723,2020/05,30.00,4.15%,掲示板
191,6262,東証1部,ペガサスミシン製造(株),09:33,482,2020/03,20.00,4.15%,掲示板
192,9769,東証1部,(株)学究社,09:31,"1,447",2020/03,60.00,4.15%,掲示板
193,7184,東証1部,(株)富山第一銀行,09:03,338,2020/03,14.00,4.14%,掲示板
194,7838,東証1部,共立印刷(株),09:28,169,2020/03,7.00,4.14%,掲示板
195,9986,東証1部,蔵王産業(株),09:33,"1,474",2020/03,61.00,4.14%,掲示板
196,4972,東証JQS,綜研化学(株),09:00,"1,333",2020/03,55.00,4.13%,掲示板
197,7940,東証1部,ウェーブロックホールディングス(株),09:28,727,2020/03,30.00,4.13%,掲示板
198,3290,東証,Oneリート投資法人,09:32,"372,500",2020/02,"15,330.00",4.12%,掲示板
199,3571,東証1部,(株)ソトー,09:00,972,2020/03,40.00,4.12%,掲示板
200,8071,名証2部,東海エレクトロニクス(株),09:00,"2,525",2020/03,104.00,4.12%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
