順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
551,3646,マザーズ,(株)駅探,09:32,606,2020/03,20.00,3.30%,掲示板
552,4658,東証1部,日本空調サービス(株),09:27,757,2020/03,25.00,3.30%,掲示板
553,6379,東証1部,レイズネクスト(株),09:34,"1,424",2020/03,47.00,3.30%,掲示板
554,7915,東証1部,ＮＩＳＳＨＡ(株),09:34,"1,060",2019/12,35.00,3.30%,掲示板
555,8084,東証1部,菱電商事(株),09:30,"1,696",2020/03,56.00,3.30%,掲示板
556,9432,東証1部,日本電信電話(株),09:34,"2,878",2020/03,95.00,3.30%,掲示板
557,9837,東証1部,モリト(株),09:33,802,2020/11,26.50,3.30%,掲示板
558,2169,東証1部,ＣＤＳ(株),09:27,"1,521",2019/12,50.00,3.29%,掲示板
559,2341,東証JQS,(株)アルバイトタイムス,09:33,213,2020/02,7.00,3.29%,掲示板
560,3462,東証,野村不動産マスターファンド投資法人,09:32,"199,300",2020/02,"6,565.00",3.29%,掲示板
561,4093,東証1部,東邦アセチレン(株),09:26,"1,367",2020/03,45.00,3.29%,掲示板
562,4767,東証1部,(株)テー・オー・ダブリュー,09:33,957,2020/06,31.50,3.29%,掲示板
563,5801,東証1部,古河電気工業(株),09:34,"2,581",2020/03,85.00,3.29%,掲示板
564,6118,東証1部,アイダエンジニアリング(株),09:34,912,2020/03,30.00,3.29%,掲示板
565,7231,東証1部,トピー工業(株),09:34,"1,823",2020/03,60.00,3.29%,掲示板
566,8957,東証,東急リアル・エステート投資法人,09:32,"206,900",2020/07,"6,800.00",3.29%,掲示板
567,9504,東証1部,中国電力(株),09:33,"1,522",2020/03,50.00,3.29%,掲示板
568,3449,東証2部,(株)テクノフレックス,09:33,"1,159",2019/12,38.00,3.28%,掲示板
569,7417,東証1部,(株)南陽,09:00,"1,893",2020/03,62.00,3.28%,掲示板
570,7769,東証1部,リズム時計工業(株),09:33,915,2020/03,30.00,3.28%,掲示板
571,7957,東証2部,フジコピアン(株),02/06,"1,888",2019/12,62.00,3.28%,掲示板
572,8923,東証1部,トーセイ(株),09:34,"1,435",2020/11,47.00,3.28%,掲示板
573,8958,東証,グローバル・ワン不動産投資法人,09:32,"144,200",2020/03,"4,725.00",3.28%,掲示板
574,1964,東証1部,中外炉工業(株),09:34,"1,835",2020/03,60.00,3.27%,掲示板
575,4220,東証1部,リケンテクノス(株),09:32,489,2020/03,16.00,3.27%,掲示板
576,4404,東証1部,ミヨシ油脂(株),09:31,"1,224",2019/12,40.00,3.27%,掲示板
577,6158,東証JQS,(株)和井田製作所,09:34,"1,527",2020/03,50.00,3.27%,掲示板
578,6458,東証1部,新晃工業(株),09:28,"1,772",2020/03,58.00,3.27%,掲示板
579,7040,東証JQS,(株)サン・ライフホールディング,02/06,980,2020/03,32.00,3.27%,掲示板
580,7638,東証JQS,(株)ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,09:30,918,2020/03,30.00,3.27%,掲示板
581,8584,東証1部,(株)ジャックス,09:34,"2,755",2020/03,90.00,3.27%,掲示板
582,8914,マザーズ,エリアリンク(株),09:28,"1,222",2019/12,40.00,3.27%,掲示板
583,3269,東証,アドバンス・レジデンス投資法人,09:34,"340,000",2020/07,"11,100.00",3.26%,掲示板
584,3440,東証2部,日創プロニティ(株),09:33,768,2020/08,25.00,3.26%,掲示板
585,4202,東証1部,(株)ダイセル,09:34,"1,044",2020/03,34.00,3.26%,掲示板
586,5101,東証1部,横浜ゴム(株),09:34,"1,899",2019/12,62.00,3.26%,掲示板
587,3352,東証JQS,(株)バッファロー,09:00,"1,231",2020/03,40.00,3.25%,掲示板
588,4635,東証2部,東京インキ(株),09:00,"2,458",2020/03,80.00,3.25%,掲示板
589,6307,東証2部,サンセイ(株),09:32,369,2020/03,12.00,3.25%,掲示板
590,9991,東証1部,ジェコス(株),09:22,"1,076",2020/03,35.00,3.25%,掲示板
591,1719,東証1部,安藤ハザマ,09:34,927,2020/03,30.00,3.24%,掲示板
592,1737,東証2部,三井金属エンジニアリング(株),09:32,"1,017",2020/03,33.00,3.24%,掲示板
593,3291,東証1部,飯田グループホールディングス(株),09:34,"1,915",2020/03,62.00,3.24%,掲示板
594,4709,東証1部,(株)ＩＤホールディングス,09:30,"1,542",2020/03,50.00,3.24%,掲示板
595,5386,東証2部,(株)鶴弥,09:28,463,2020/03,15.00,3.24%,掲示板
596,6850,東証1部,(株)チノー,09:28,"1,391",2020/03,45.00,3.24%,掲示板
597,8881,東証1部,(株)日神グループホールディングス,09:33,556,2020/03,18.00,3.24%,掲示板
598,4031,東証1部,片倉コープアグリ(株),09:16,"1,239",2020/03,40.00,3.23%,掲示板
599,4042,東証1部,東ソー(株),09:34,"1,733",2020/03,56.00,3.23%,掲示板
600,6480,東証1部,日本トムソン(株),09:34,464,2020/03,15.00,3.23%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
