順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
351,8935,東証1部,(株)ＦＪネクスト,09:32,"1,194",2020/03,44.00,3.69%,掲示板
352,9763,東証1部,丸紅建材リース(株),09:24,"1,897",2020/03,70.00,3.69%,掲示板
353,2777,東証JQS,(株)カッシーナ・イクスシー,09:32,815,2019/12,30.00,3.68%,掲示板
354,3204,東証1部,(株)トーア紡コーポレーション,09:26,543,2019/12,20.00,3.68%,掲示板
355,3463,東証,いちごホテルリート投資法人,09:32,"120,400",2020/07,"4,428.00",3.68%,掲示板
356,4928,東証1部,(株)ノエビアホールディングス,09:31,"5,440",2020/09,200.00,3.68%,掲示板
357,5162,東証JQS,(株)朝日ラバー,09:19,815,2020/03,30.00,3.68%,掲示板
358,5715,東証1部,古河機械金属(株),09:31,"1,359",2020/03,50.00,3.68%,掲示板
359,5938,東証1部,(株)ＬＩＸＩＬグループ,09:32,"1,904",2020/03,70.00,3.68%,掲示板
360,6141,東証1部,ＤＭＧ森精機(株),09:32,"1,630",2019/12,60.00,3.68%,掲示板
361,7552,東証1部,(株)ハピネット,09:32,"1,358",2020/03,50.00,3.68%,掲示板
362,9445,東証2部,(株)フォーバルテレコム,09:30,462,2020/03,17.00,3.68%,掲示板
363,9856,東証1部,(株)ケーユーホールディングス,09:27,950,2020/03,35.00,3.68%,掲示板
364,3551,東証1部,ダイニック(株),09:09,817,2020/03,30.00,3.67%,掲示板
365,8076,名証2部,(株)カノークス,09:00,"1,008",2020/03,37.00,3.67%,掲示板
366,8975,東証,いちごオフィスリート投資法人,09:32,"116,300",2020/04,"4,273.00",3.67%,掲示板
367,1861,東証1部,(株)熊谷組,09:33,"3,275",2020/03,120.00,3.66%,掲示板
368,1870,東証1部,矢作建設工業(株),09:24,874,2020/03,32.00,3.66%,掲示板
369,5990,東証JQS,(株)スーパーツール,09:15,"2,460",2020/03,90.00,3.66%,掲示板
370,7266,東証1部,(株)今仙電機製作所,09:32,901,2020/03,33.00,3.66%,掲示板
371,2410,東証1部,(株)キャリアデザインセンター,09:31,"1,234",2020/09,45.00,3.65%,掲示板
372,8309,東証1部,三井住友トラスト・ホールディングス(株),09:32,"4,105",2020/03,150.00,3.65%,掲示板
373,8544,東証1部,(株)京葉銀行,09:26,602,2020/03,22.00,3.65%,掲示板
374,8931,東証JQS,和田興産(株),09:30,931,2020/02,34.00,3.65%,掲示板
375,4980,東証1部,デクセリアルズ(株),09:32,934,2020/03,34.00,3.64%,掲示板
376,6473,東証1部,(株)ジェイテクト,09:33,"1,209",2020/03,44.00,3.64%,掲示板
377,7422,東証JQS,東邦レマック(株),09:00,"3,295",2020/12,120.00,3.64%,掲示板
378,7905,東証1部,大建工業(株),09:24,"1,924",2020/03,70.00,3.64%,掲示板
379,9179,東証2部,川崎近海汽船(株),02/06,"3,295",2020/03,120.00,3.64%,掲示板
380,9761,東証2部,東海リース(株),09:32,"1,647",2020/03,60.00,3.64%,掲示板
381,6496,東証2部,(株)中北製作所,02/06,"2,752",2020/05,100.00,3.63%,掲示板
382,7186,東証1部,(株)コンコルディア・フィナンシャルグループ,09:33,441,2020/03,16.00,3.63%,掲示板
383,8101,東証1部,(株)ＧＳＩクレオス,09:33,"1,238",2020/03,45.00,3.63%,掲示板
384,1439,東証JQS,(株)安江工務店,09:08,"1,220",2019/12,44.00,3.61%,掲示板
385,2714,東証JQS,プラマテルズ(株),09:32,638,2020/03,23.00,3.61%,掲示板
386,3466,東証,ラサールロジポート投資法人,09:33,"176,700",2020/02,"6,386.00",3.61%,掲示板
387,5989,東証1部,(株)エイチワン,09:33,721,2020/03,26.00,3.61%,掲示板
388,6445,東証1部,蛇の目ミシン工業(株),09:32,415,2020/03,15.00,3.61%,掲示板
389,8893,東証JQS,(株)新日本建物,09:33,554,2020/03,20.00,3.61%,掲示板
390,9934,東証1部,因幡電機産業(株),09:33,"2,772",2020/03,100.00,3.61%,掲示板
391,3296,東証,日本リート投資法人,09:32,"488,500",2020/06,"17,610.00",3.60%,掲示板
392,9381,東証1部,(株)エーアイテイー,09:30,"1,001",2020/02,36.00,3.60%,掲示板
393,1946,東証1部,(株)トーエネック,09:15,"3,760",2020/03,135.00,3.59%,掲示板
394,6164,東証JQS,(株)太陽工機,09:04,"1,392",2019/12,50.00,3.59%,掲示板
395,6384,東証JQS,(株)昭和真空,09:31,"1,669",2020/03,60.00,3.59%,掲示板
396,6715,東証1部,(株)ナカヨ,09:33,"1,670",2020/03,60.00,3.59%,掲示板
397,8132,東証1部,シナネンホールディングス(株),09:31,"2,087",2020/03,75.00,3.59%,掲示板
398,8766,東証1部,東京海上ホールディングス(株),09:33,"6,262",2020/03,225.00,3.59%,掲示板
399,7851,東証2部,カワセコンピュータサプライ(株),09:06,279,2020/03,10.00,3.58%,掲示板
400,8137,東証1部,サンワテクノス(株),09:30,949,2020/03,34.00,3.58%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
