順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
101,3513,東証1部,イチカワ(株),09:31,"1,434",2020/03,65.00,4.53%,掲示板
102,8058,東証1部,三菱商事(株),09:33,"2,914",2020/03,132.00,4.53%,掲示板
103,4249,東証1部,森六ホールディングス(株),09:34,"2,255",2020/03,102.00,4.52%,掲示板
104,5742,東証JQS,エヌアイシ・オートテック(株),09:32,863,2020/03,39.00,4.52%,掲示板
105,8999,東証1部,グランディハウス(株),09:28,509,2020/03,23.00,4.52%,掲示板
106,3294,東証1部,(株)イーグランド,09:34,843,2020/03,38.00,4.51%,掲示板
107,8336,東証1部,(株)武蔵野銀行,09:32,"1,773",2020/03,80.00,4.51%,掲示板
108,4705,東証JQS,(株)クリップコーポレーション,09:00,888,2020/03,40.00,4.50%,掲示板
109,8308,東証1部,(株)りそなホールディングス,09:33,466.5,2020/03,21.00,4.50%,掲示板
110,8554,福証,(株)南日本銀行,02/06,"1,110",2020/03,50.00,4.50%,掲示板
111,7284,東証1部,盟和産業(株),09:24,"1,114",2020/03,50.00,4.49%,掲示板
112,6369,東証1部,トーヨーカネツ(株),09:33,"2,231",2020/03,100.00,4.48%,掲示板
113,7731,東証1部,(株)ニコン,09:33,"1,338",2020/03,60.00,4.48%,掲示板
114,8890,東証JQS,(株)レーサム,09:30,"1,007",2020/03,45.00,4.47%,掲示板
115,5010,東証2部,日本精蝋(株),09:00,224,2019/12,10.00,4.46%,掲示板
116,8560,福証,(株)宮崎太陽銀行,09:00,"1,121",2020/03,50.00,4.46%,掲示板
117,3293,東証JQS,アズマハウス(株),09:20,"1,799",2020/03,80.00,4.45%,掲示板
118,8065,東証1部,佐藤商事(株),09:24,967,2020/03,43.00,4.45%,掲示板
119,3376,東証1部,(株)オンリー,09:28,789,2020/08,35.00,4.44%,掲示板
120,6493,東証2部,日鍛バルブ(株),09:14,270,2020/03,12.00,4.44%,掲示板
121,7762,東証1部,シチズン時計(株),09:33,541,2020/03,24.00,4.44%,掲示板
122,8524,東証1部,(株)北洋銀行,09:27,225,2020/03,10.00,4.44%,掲示板
123,7305,東証1部,新家工業(株),09:00,"1,466",2020/03,65.00,4.43%,掲示板
124,7322,東証1部,(株)三十三フィナンシャルグループ,09:27,"1,625",2020/03,72.00,4.43%,掲示板
125,1847,東証1部,(株)イチケン,09:30,"1,808",2020/03,80.00,4.42%,掲示板
126,8119,東証JQS,(株)三栄コーポレーション,09:25,"3,620",2020/03,160.00,4.42%,掲示板
127,8996,福岡Q,(株)ハウスフリーダム,09:16,452,2019/12,20.00,4.42%,掲示板
128,5110,東証1部,住友ゴム工業(株),09:33,"1,248",2019/12,55.00,4.41%,掲示板
129,6186,東証1部,(株)一蔵,09:29,681,2020/03,30.00,4.41%,掲示板
130,6915,東証1部,千代田インテグレ(株),09:28,"2,153",2019/12,95.00,4.41%,掲示板
131,7247,東証1部,(株)ミクニ,09:32,340,2020/03,15.00,4.41%,掲示板
132,7950,名証2部,日本デコラックス(株),02/05,"6,350",2020/03,280.00,4.41%,掲示板
133,8020,東証1部,兼松(株),09:33,"1,361",2020/03,60.00,4.41%,掲示板
134,8075,東証1部,神鋼商事(株),09:29,"2,496",2020/03,110.00,4.41%,掲示板
135,8395,東証1部,(株)佐賀銀行,09:30,"1,589",2020/03,70.00,4.41%,掲示板
136,1413,東証1部,(株)ヒノキヤグループ,09:17,"2,050",2019/12,90.00,4.39%,掲示板
137,1448,東証1部,(株)スペースバリューホールディングス,09:34,569,2020/03,25.00,4.39%,掲示板
138,5017,東証1部,富士石油(株),09:34,228,2020/03,10.00,4.39%,掲示板
139,9622,東証1部,(株)スペース,09:17,"1,229",2019/12,54.00,4.39%,掲示板
140,4544,東証1部,みらかホールディングス(株),09:34,"2,970",2020/03,130.00,4.38%,掲示板
141,7414,東証1部,小野建(株),09:27,"1,369",2020/03,60.00,4.38%,掲示板
142,7256,東証1部,河西工業(株),09:33,825,2020/03,36.00,4.36%,掲示板
143,8214,東証1部,(株)ＡＯＫＩホールディングス,09:33,"1,056",2020/03,46.00,4.36%,掲示板
144,7593,東証1部,ＶＴホールディングス(株),09:33,460,2020/03,20.00,4.35%,掲示板
145,7265,東証JQS,エイケン工業(株),02/06,"2,535",2020/10,110.00,4.34%,掲示板
146,8979,東証,スターツプロシード投資法人,09:33,"206,200",2020/04,"8,950.00",4.34%,掲示板
147,9376,東証JQS,(株)ユーラシア旅行社,09:20,507,2020/09,22.00,4.34%,掲示板
148,3299,東証1部,(株)ムゲンエステート,09:34,693,2019/12,30.00,4.33%,掲示板
149,4902,東証1部,コニカミノルタ(株),09:34,693,2020/03,30.00,4.33%,掲示板
150,7167,東証1部,(株)めぶきフィナンシャルグループ,09:33,254,2020/03,11.00,4.33%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
