順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
501,6365,東証2部,(株)電業社機械製作所,09:15,"2,444",2020/03,82.50,3.38%,掲示板
502,8795,東証1部,(株)Ｔ＆Ｄホールディングス,09:34,"1,302",2020/03,44.00,3.38%,掲示板
503,9433,東証1部,ＫＤＤＩ(株),09:34,"3,398",2020/03,115.00,3.38%,掲示板
504,2499,東証2部,日本和装ホールディングス(株),09:17,386,2019/12,13.00,3.37%,掲示板
505,2974,福証,大英産業(株),09:00,"1,068",2020/09,36.00,3.37%,掲示板
506,3249,東証,産業ファンド投資法人,09:34,"171,000",2020/07,"5,755.00",3.37%,掲示板
507,4631,東証1部,ＤＩＣ(株),09:34,"2,968",2019/12,100.00,3.37%,掲示板
508,4641,東証1部,(株)アルプス技研,09:33,"2,080",2020/12,70.00,3.37%,掲示板
509,6382,東証2部,トリニティ工業(株),09:29,921,2020/03,31.00,3.37%,掲示板
510,7189,東証1部,(株)西日本フィナンシャルホールディングス,09:34,741,2020/03,25.00,3.37%,掲示板
511,7953,東証2部,菊水化学工業(株),09:31,505,2020/03,17.00,3.37%,掲示板
512,4617,東証1部,中国塗料(株),09:34,"1,012",2020/03,34.00,3.36%,掲示板
513,5202,東証1部,日本板硝子(株),09:34,595,2020/03,20.00,3.36%,掲示板
514,6592,東証1部,マブチモーター(株),09:34,"4,020",2019/12,135.00,3.36%,掲示板
515,8912,東証2部,(株)エリアクエスト,09:31,119,2020/06,4.00,3.36%,掲示板
516,9066,東証1部,(株)日新,09:00,"1,669",2020/03,56.00,3.36%,掲示板
517,9444,東証JQS,(株)トーシンホールディングス,09:12,595,2020/04,20.00,3.36%,掲示板
518,3763,東証1部,(株)プロシップ,09:29,"1,345",2020/03,45.00,3.35%,掲示板
519,4119,東証2部,日本ピグメント(株),02/06,"2,385",2020/03,80.00,3.35%,掲示板
520,5992,東証1部,中央発條(株),09:29,"2,986",2020/03,100.00,3.35%,掲示板
521,6248,東証JQS,(株)横田製作所,09:25,"1,045",2020/03,35.00,3.35%,掲示板
522,7202,東証1部,いすゞ自動車(株),09:34,"1,135.5",2020/03,38.00,3.35%,掲示板
523,7607,東証1部,(株)進和,09:31,"2,270",2020/08,76.00,3.35%,掲示板
524,1905,東証JQS,(株)テノックス,09:34,988,2020/03,33.00,3.34%,掲示板
525,6472,東証1部,ＮＴＮ(株),09:34,299,2020/03,10.00,3.34%,掲示板
526,6995,東証1部,(株)東海理化,09:33,"1,914",2020/03,64.00,3.34%,掲示板
527,7488,名証2部,(株)ヤガミ,01/31,"1,885",2020/04,63.00,3.34%,掲示板
528,7914,東証1部,共同印刷(株),09:34,"2,993",2020/03,100.00,3.34%,掲示板
529,8123,東証JQS,川辺(株),02/06,"1,499",2020/03,50.00,3.34%,掲示板
530,3227,東証,MCUBS MidCity投資法人,09:33,"122,000",2020/06,"4,060.00",3.33%,掲示板
531,3607,東証1部,(株)クラウディアホールディングス,09:32,480,2020/08,16.00,3.33%,掲示板
532,4326,東証1部,(株)インテージホールディングス,09:33,902,2020/06,30.00,3.33%,掲示板
533,8967,東証,日本ロジスティクスファンド投資法人,09:33,"286,800",2020/07,"9,560.00",3.33%,掲示板
534,1430,東証1部,ファーストコーポレーション(株),09:33,602,2020/05,20.00,3.32%,掲示板
535,1971,東証2部,中央ビルト工業(株),02/06,752,2020/03,25.00,3.32%,掲示板
536,2485,東証1部,(株)ティア,09:32,603,2020/09,20.00,3.32%,掲示板
537,3600,東証2部,(株)フジックス,02/06,"1,880",2020/03,62.50,3.32%,掲示板
538,4410,東証1部,ハリマ化成グループ(株),09:33,"1,145",2020/03,38.00,3.32%,掲示板
539,5729,東証2部,日本精鉱(株),02/06,"2,256",2020/03,75.00,3.32%,掲示板
540,8145,名証2部,中部水産(株),02/06,"2,410",2020/03,80.00,3.32%,掲示板
541,8360,東証1部,(株)山梨中央銀行,09:31,"1,054",2020/03,35.00,3.32%,掲示板
542,1928,東証1部,積水ハウス(株),09:33,"2,445",2020/01,81.00,3.31%,掲示板
543,3452,東証1部,(株)ビーロット,09:27,"1,814",2019/12,60.00,3.31%,掲示板
544,4636,東証1部,(株)Ｔ＆Ｋ　ＴＯＫＡ,09:28,"1,026",2020/03,34.00,3.31%,掲示板
545,6470,東証1部,大豊工業(株),09:34,724,2020/03,24.00,3.31%,掲示板
546,7229,東証JQS,(株)ユタカ技研,09:03,"2,174",2020/03,72.00,3.31%,掲示板
547,8410,東証1部,(株)セブン銀行,09:33,332,2020/03,11.00,3.31%,掲示板
548,9644,東証1部,(株)タナベ経営,09:04,"1,299",2020/03,43.00,3.31%,掲示板
549,2393,東証2部,(株)日本ケアサプライ,09:25,"1,395",2020/03,46.00,3.30%,掲示板
550,3116,東証1部,トヨタ紡織(株),09:32,"1,697",2020/03,56.00,3.30%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
