順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
901,2753,東証1部,(株)あみやき亭,09:07,"3,555",2020/03,100.00,2.81%,掲示板
902,3132,東証1部,マクニカ・富士エレホールディングス(株),09:34,"1,777",2020/03,50.00,2.81%,掲示板
903,3501,東証1部,住江織物(株),09:33,"2,495",2020/05,70.00,2.81%,掲示板
904,4367,東証2部,広栄化学工業(株),09:18,"2,487",2020/03,70.00,2.81%,掲示板
905,4471,東証1部,三洋化成工業(株),09:34,"4,980",2020/03,140.00,2.81%,掲示板
906,5929,東証1部,三和ホールディングス(株),09:33,"1,210",2020/03,34.00,2.81%,掲示板
907,5973,東証2部,(株)トーアミ,09:34,533,2020/03,15.00,2.81%,掲示板
908,6044,東証1部,(株)三機サービス,09:34,"1,066",2020/05,30.00,2.81%,掲示板
909,6135,東証1部,(株)牧野フライス製作所,09:34,"4,270",2020/03,120.00,2.81%,掲示板
910,6409,東証1部,(株)キトー,09:33,"1,707",2020/03,48.00,2.81%,掲示板
911,7425,東証JQS,初穂商事(株),02/05,"3,565",2019/12,100.00,2.81%,掲示板
912,7713,東証JQS,シグマ光機(株),09:34,"1,421",2020/05,40.00,2.81%,掲示板
913,8093,東証1部,極東貿易(株),09:30,"2,137",2020/03,60.00,2.81%,掲示板
914,8364,東証1部,(株)清水銀行,02/06,"2,139",2020/03,60.00,2.81%,掲示板
915,9275,東証1部,(株)ナルミヤ・インターナショナル,09:33,"1,210",2020/02,34.00,2.81%,掲示板
916,2344,東証JQS,平安レイサービス(株),09:00,893,2020/03,25.00,2.80%,掲示板
917,3471,東証,三井不動産ロジスティクスパーク投資法人,09:33,"499,500",2020/07,"14,004.00",2.80%,掲示板
918,4968,東証1部,荒川化学工業(株),09:32,"1,571",2020/03,44.00,2.80%,掲示板
919,5185,東証1部,(株)フコク,09:30,715,2020/03,20.00,2.80%,掲示板
920,6737,東証1部,ＥＩＺＯ(株),09:34,"3,935",2020/03,110.00,2.80%,掲示板
921,9964,東証JQS,(株)アイ・テック,09:02,"1,786",2020/03,50.00,2.80%,掲示板
922,1429,東証1部,(株)日本アクア,09:34,609,2019/12,17.00,2.79%,掲示板
923,2391,東証JQS,(株)プラネット,09:00,"1,453",2020/07,40.50,2.79%,掲示板
924,3176,東証1部,三洋貿易(株),09:33,"1,343",2020/09,37.50,2.79%,掲示板
925,3226,東証,日本アコモデーションファンド投資法人,09:29,"703,000",2020/02,"19,620.00",2.79%,掲示板
926,3975,東証1部,ＡＯＩ　ＴＹＯ　Ｈｏｌｄｉｎｇｓ(株),09:34,716,2019/12,20.00,2.79%,掲示板
927,4185,東証1部,ＪＳＲ(株),09:34,"2,150",2020/03,60.00,2.79%,掲示板
928,5999,東証JQS,イハラサイエンス(株),09:27,"1,648",2020/03,46.00,2.79%,掲示板
929,6254,東証JQS,野村マイクロ・サイエンス(株),09:33,"1,077",2020/03,30.00,2.79%,掲示板
930,6402,東証2部,兼松エンジニアリング(株),09:22,"1,325",2020/03,37.00,2.79%,掲示板
931,7723,東証1部,愛知時計電機(株),02/06,"4,295",2020/03,120.00,2.79%,掲示板
932,7727,東証1部,(株)オーバル,09:14,251,2020/03,7.00,2.79%,掲示板
933,7975,東証2部,(株)リヒトラブ,02/06,"1,794",2020/02,50.00,2.79%,掲示板
934,8014,東証1部,蝶理(株),09:29,"2,219",2020/03,62.00,2.79%,掲示板
935,9639,東証JQS,三協フロンテア(株),02/06,"4,300",2020/03,120.00,2.79%,掲示板
936,1945,東証1部,(株)東京エネシス,09:33,900,2020/03,25.00,2.78%,掲示板
937,3612,東証1部,(株)ワールド,09:34,"2,588",2020/03,72.00,2.78%,掲示板
938,4620,東証1部,藤倉化成(株),09:24,575,2020/03,16.00,2.78%,掲示板
939,7561,東証1部,(株)ハークスレイ,09:26,"1,261",2020/03,35.00,2.78%,掲示板
940,8355,東証1部,(株)静岡銀行,09:33,790,2020/03,22.00,2.78%,掲示板
941,8854,東証2部,(株)日住サービス,02/05,"1,798",2019/12,50.00,2.78%,掲示板
942,9273,東証2部,コーア商事ホールディングス(株),09:07,863,2020/06,24.00,2.78%,掲示板
943,9852,東証JQS,ＣＢグループマネジメント(株),09:00,"2,880",2020/03,80.00,2.78%,掲示板
944,9906,東証JQS,藤井産業(株),09:33,"1,619",2020/03,45.00,2.78%,掲示板
945,3395,東証1部,(株)サンマルクホールディングス,09:34,"2,240",2020/03,62.00,2.77%,掲示板
946,3475,東証1部,(株)グッドコムアセット,09:32,"2,203",2020/10,61.00,2.77%,掲示板
947,4333,東証1部,(株)東邦システムサイエンス,09:06,901,2020/03,25.00,2.77%,掲示板
948,4346,東証1部,(株)ネクシィーズグループ,09:34,"1,622",2020/09,45.00,2.77%,掲示板
949,4732,東証1部,(株)ユー・エス・エス,09:34,"1,998",2020/03,55.40,2.77%,掲示板
950,5711,東証1部,三菱マテリアル(株),09:34,"2,891",2020/03,80.00,2.77%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
