順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
401,8137,東証1部,サンワテクノス(株),09:30,949,2020/03,34.00,3.58%,掲示板
402,8977,東証,阪急阪神リート投資法人,09:34,"175,600",2020/05,"6,290.00",3.58%,掲示板
403,1888,東証1部,若築建設(株),09:23,"1,680",2020/03,60.00,3.57%,掲示板
404,5018,東証1部,(株)ＭＯＲＥＳＣＯ,09:31,"1,401",2020/02,50.00,3.57%,掲示板
405,5334,東証1部,日本特殊陶業(株),09:34,"1,959",2020/03,70.00,3.57%,掲示板
406,6724,東証1部,セイコーエプソン(株),09:33,"1,739",2020/03,62.00,3.57%,掲示板
407,8960,東証,ユナイテッド・アーバン投資法人,09:33,"192,700",2020/05,"6,870.00",3.57%,掲示板
408,9632,東証1部,スバル興業(株),09:25,"9,520",2020/01,340.00,3.57%,掲示板
409,3945,東証2部,スーパーバッグ(株),09:23,"1,685",2020/03,60.00,3.56%,掲示板
410,6703,東証1部,ＯＫＩ,09:34,"1,406",2020/03,50.00,3.56%,掲示板
411,7299,東証2部,フジオーゼックス(株),09:00,"3,370",2020/03,120.00,3.56%,掲示板
412,8956,東証,プレミア投資法人,09:33,"158,500",2020/04,"5,640.00",3.56%,掲示板
413,1782,東証JQS,常磐開発(株),09:08,"7,040",2020/03,250.00,3.55%,掲示板
414,3309,東証,積水ハウス・リート投資法人,09:32,"91,700",2020/04,"3,253.00",3.55%,掲示板
415,5702,東証1部,(株)大紀アルミニウム工業所,09:33,705,2020/03,25.00,3.55%,掲示板
416,5981,東証1部,東京製綱(株),09:33,"1,126",2020/03,40.00,3.55%,掲示板
417,6286,東証JQS,靜甲(株),02/06,592,2020/03,21.00,3.55%,掲示板
418,8046,東証2部,丸藤シートパイル(株),09:05,"2,253",2020/03,80.00,3.55%,掲示板
419,8096,東証1部,兼松エレクトロニクス(株),09:27,"3,660",2020/03,130.00,3.55%,掲示板
420,8334,東証1部,(株)群馬銀行,09:30,366,2020/03,13.00,3.55%,掲示板
421,6844,東証1部,新電元工業(株),09:28,"3,530",2020/03,125.00,3.54%,掲示板
422,6998,東証2部,日本タングステン(株),09:00,"1,978",2020/03,70.00,3.54%,掲示板
423,8087,東証1部,フルサト工業(株),09:00,"1,738",2020/03,61.50,3.54%,掲示板
424,9351,東証1部,東洋埠頭(株),09:32,"1,412",2020/03,50.00,3.54%,掲示板
425,8040,東証2部,(株)東京ソワール,09:00,851,2019/12,30.00,3.53%,掲示板
426,1866,東証1部,北野建設(株),09:23,"2,555",2020/03,90.00,3.52%,掲示板
427,5304,東証2部,ＳＥＣカーボン(株),09:24,"8,520",2020/03,300.00,3.52%,掲示板
428,6412,東証1部,(株)平和,09:34,"2,271",2020/03,80.00,3.52%,掲示板
429,8127,東証1部,ヤマト　インターナショナル(株),09:14,412,2020/08,14.50,3.52%,掲示板
430,8966,東証,平和不動産リート投資法人,09:33,"143,500",2020/05,"5,050.00",3.52%,掲示板
431,9990,東証1部,(株)サックスバー　ホールディングス,09:27,853,2020/03,30.00,3.52%,掲示板
432,8025,東証1部,(株)ツカモトコーポレーション,09:08,"1,139",2020/03,40.00,3.51%,掲示板
433,9274,東証1部,国際紙パルプ商事(株),09:28,285,2020/03,10.00,3.51%,掲示板
434,1775,東証2部,富士古河Ｅ＆Ｃ(株),09:00,"2,144",2020/03,75.00,3.50%,掲示板
435,5201,東証1部,ＡＧＣ(株),09:34,"3,715",2020/12,130.00,3.50%,掲示板
436,6125,東証2部,(株)岡本工作機械製作所,09:33,"2,857",2020/03,100.00,3.50%,掲示板
437,1770,東証JQS,藤田エンジニアリング(株),09:00,859,2020/03,30.00,3.49%,掲示板
438,3279,東証,アクティビア・プロパティーズ投資法人,09:29,"568,000",2020/05,"19,810.00",3.49%,掲示板
439,8521,東証1部,(株)長野銀行,09:00,"1,574",2020/03,55.00,3.49%,掲示板
440,8750,東証1部,第一生命ホールディングス(株),09:34,"1,774",2020/03,62.00,3.49%,掲示板
441,5451,東証1部,(株)淀川製鋼所,09:27,"2,011",2020/03,70.00,3.48%,掲示板
442,5975,東証1部,東プレ(株),09:34,"1,722",2020/03,60.00,3.48%,掲示板
443,7427,東証1部,エコートレーディング(株),09:24,575,2020/02,20.00,3.48%,掲示板
444,7464,東証JQS,セフテック(株),02/06,"8,620",2020/03,300.00,3.48%,掲示板
445,7525,東証1部,リックス(株),09:33,"1,722",2020/03,60.00,3.48%,掲示板
446,8593,東証1部,三菱ＵＦＪリース(株),09:34,719,2020/03,25.00,3.48%,掲示板
447,1420,東証1部,サンヨーホームズ(株),09:33,720,2020/03,25.00,3.47%,掲示板
448,1805,東証1部,飛島建設(株),09:32,"1,440",2020/03,50.00,3.47%,掲示板
449,4634,東証1部,東洋インキＳＣホールディングス(株),09:29,"2,597",2019/12,90.00,3.47%,掲示板
450,5288,東証1部,アジアパイルホールディングス(株),09:34,577,2020/03,20.00,3.47%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
