順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
451,5380,東証JQS,新東(株),02/06,"2,160",2020/06,75.00,3.47%,掲示板
452,6167,東証1部,冨士ダイス(株),09:29,720,2020/03,25.00,3.47%,掲示板
453,8418,東証1部,(株)山口フィナンシャルグループ,09:34,691,2020/03,24.00,3.47%,掲示板
454,8630,東証1部,ＳＯＭＰＯホールディングス(株),09:33,"4,324",2020/03,150.00,3.47%,掲示板
455,3281,東証,ＧＬＰ投資法人,09:34,"149,200",2020/02,"5,169.00",3.46%,掲示板
456,5237,東証2部,(株)ノザワ,09:11,723,2020/03,25.00,3.46%,掲示板
457,5994,東証2部,(株)ファインシンター,02/06,"2,021",2020/03,70.00,3.46%,掲示板
458,7539,東証JQS,(株)アイナボホールディングス,09:08,983,2020/09,34.00,3.46%,掲示板
459,7987,東証1部,ナカバヤシ(株),09:33,636,2020/03,22.00,3.46%,掲示板
460,8118,東証1部,(株)キング,09:22,578,2020/03,20.00,3.46%,掲示板
461,2117,東証1部,日新製糖(株),09:31,"2,030",2020/03,70.00,3.45%,掲示板
462,2154,東証1部,(株)ビーネックスグループ,09:34,"1,161",2020/06,40.00,3.45%,掲示板
463,5187,東証1部,クリエートメディック(株),09:20,"1,074",2019/12,37.00,3.45%,掲示板
464,5271,東証2部,(株)トーヨーアサノ,09:00,"2,175",2020/02,75.00,3.45%,掲示板
465,5660,東証2部,神鋼鋼線工業(株),09:00,"1,161",2020/03,40.00,3.45%,掲示板
466,7246,東証1部,プレス工業(株),09:34,377,2020/03,13.00,3.45%,掲示板
467,1812,東証1部,鹿島,09:34,"1,455",2020/03,50.00,3.44%,掲示板
468,4327,東証JQS,日本エス・エイチ・エル(株),09:00,"2,095",2020/09,72.00,3.44%,掲示板
469,5352,東証1部,黒崎播磨(株),09:31,"6,400",2020/03,220.00,3.44%,掲示板
470,5979,名証2部,カネソウ(株),02/06,"4,360",2020/03,150.00,3.44%,掲示板
471,6371,東証1部,(株)椿本チエイン,09:33,"3,485",2020/03,120.00,3.44%,掲示板
472,8061,東証1部,西華産業(株),09:23,"1,308",2020/03,45.00,3.44%,掲示板
473,8151,東証1部,(株)東陽テクニカ,09:34,"1,104",2020/09,38.00,3.44%,掲示板
474,9201,東証1部,日本航空(株),09:34,"3,202",2020/03,110.00,3.44%,掲示板
475,3295,東証,ヒューリックリート投資法人,09:33,"201,700",2020/02,"6,920.00",3.43%,掲示板
476,3467,東証1部,アグレ都市デザイン(株),09:31,525,2020/03,18.00,3.43%,掲示板
477,4234,東証JQS,(株)サンエー化研,09:33,525,2020/03,18.00,3.43%,掲示板
478,5852,東証1部,(株)アーレスティ,09:32,525,2020/03,18.00,3.43%,掲示板
479,7208,東証2部,(株)カネミツ,09:03,758,2020/03,26.00,3.43%,掲示板
480,7949,東証1部,小松ウオール工業(株),09:29,"2,188",2020/03,75.00,3.43%,掲示板
481,6042,東証2部,(株)ニッキ,09:24,"2,482",2020/03,85.00,3.42%,掲示板
482,3298,東証,インベスコ・オフィス・ジェイリート投資法人,09:32,"23,070",2020/04,787.00,3.41%,掲示板
483,4569,東証1部,キョーリン製薬ホールディングス(株),09:34,"2,197",2020/03,75.00,3.41%,掲示板
484,5820,東証JQS,(株)三ッ星,02/06,"1,467",2020/03,50.00,3.41%,掲示板
485,5958,東証1部,三洋工業(株),09:31,"2,057",2020/03,70.00,3.40%,掲示板
486,6488,東証JQS,(株)ヨシタケ,09:26,"1,058",2020/03,36.00,3.40%,掲示板
487,8018,東証1部,三共生興(株),09:22,589,2020/03,20.00,3.40%,掲示板
488,8081,東証1部,(株)カナデン,09:21,"1,352",2020/03,46.00,3.40%,掲示板
489,1787,東証JQS,(株)ナカボーテック,09:00,"3,395",2020/03,115.00,3.39%,掲示板
490,1882,東証1部,東亜道路工業(株),09:31,"3,540",2020/03,120.00,3.39%,掲示板
491,5482,東証1部,愛知製鋼(株),09:33,"3,545",2020/03,120.00,3.39%,掲示板
492,7811,東証1部,中本パックス(株),09:32,"1,650",2020/02,56.00,3.39%,掲示板
493,8917,東証1部,ファースト住建(株),09:30,"1,270",2020/10,43.00,3.39%,掲示板
494,2760,東証1部,東京エレクトロン　デバイス(株),09:34,"2,663",2020/03,90.00,3.38%,掲示板
495,3173,東証1部,(株)Ｃｏｍｉｎｉｘ,09:05,829,2020/03,28.00,3.38%,掲示板
496,3408,東証1部,サカイオーベックス(株),09:34,"1,775",2020/03,60.00,3.38%,掲示板
497,4725,東証1部,(株)ＣＡＣ　Ｈｏｌｄｉｎｇｓ,09:34,"1,480",2019/12,50.00,3.38%,掲示板
498,5013,東証1部,ユシロ化学工業(株),09:31,"1,420",2020/03,48.00,3.38%,掲示板
499,5463,東証1部,丸一鋼管(株),09:33,"3,180",2020/03,107.50,3.38%,掲示板
500,6365,東証2部,(株)電業社機械製作所,09:15,"2,444",2020/03,82.50,3.38%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
