順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
851,3183,東証1部,ウイン・パートナーズ(株),09:30,"1,141",2020/03,33.00,2.89%,掲示板
852,3431,東証1部,宮地エンジニアリンググループ(株),09:33,"2,073",2020/03,60.00,2.89%,掲示板
853,3481,東証,三菱地所物流リート投資法人,09:32,"407,500",2020/02,"11,772.00",2.89%,掲示板
854,3847,東証JQS,パシフィックシステム(株),09:11,"3,455",2020/03,100.00,2.89%,掲示板
855,4114,東証1部,(株)日本触媒,09:34,"6,230",2020/03,180.00,2.89%,掲示板
856,5541,東証1部,大平洋金属(株),09:33,"2,252",2020/03,65.00,2.89%,掲示板
857,6076,福証,(株)アメイズ,09:30,"1,039",2020/11,30.00,2.89%,掲示板
858,9069,東証1部,センコーグループホールディングス(株),09:33,900,2020/03,26.00,2.89%,掲示板
859,3524,東証1部,日東製網(株),09:28,"1,739",2020/04,50.00,2.88%,掲示板
860,5607,名証2部,中央可鍛工業(株),09:03,417,2020/03,12.00,2.88%,掲示板
861,6155,東証2部,高松機械工業(株),09:30,868,2020/03,25.00,2.88%,掲示板
862,6638,東証1部,(株)ミマキエンジニアリング,09:25,521,2020/03,15.00,2.88%,掲示板
863,8527,東証1部,(株)愛知銀行,09:30,"3,475",2020/03,100.00,2.88%,掲示板
864,9035,福証,第一交通産業(株),09:22,867,2020/03,25.00,2.88%,掲示板
865,9072,東証1部,ニッコンホールディングス(株),09:32,"2,638",2020/03,76.00,2.88%,掲示板
866,2927,東証JQS,(株)ＡＦＣ−ＨＤアムスライフサイエンス,09:31,698,2020/08,20.00,2.87%,掲示板
867,5930,東証1部,文化シヤッター(株),09:32,872,2020/03,25.00,2.87%,掲示板
868,6143,東証1部,(株)ソディック,09:34,872,2019/12,25.00,2.87%,掲示板
869,7446,東証JQS,東北化学薬品(株),02/04,"3,140",2020/09,90.00,2.87%,掲示板
870,2408,東証JQS,(株)ＫＧ情報,09:26,350,2020/12,10.00,2.86%,掲示板
871,3401,東証1部,帝人(株),09:34,"2,098",2020/03,60.00,2.86%,掲示板
872,3420,東証2部,(株)ケー・エフ・シー,09:20,"2,096",2020/03,60.00,2.86%,掲示板
873,6670,東証2部,(株)ＭＣＪ,09:34,771,2020/03,22.02,2.86%,掲示板
874,7635,東証JQS,杉田エース(株),09:11,"1,050",2020/03,30.00,2.86%,掲示板
875,1801,東証1部,大成建設(株),09:34,"4,565",2020/03,130.00,2.85%,掲示板
876,2792,東証1部,(株)ハニーズホールディングス,09:34,"1,402",2020/05,40.00,2.85%,掲示板
877,4676,東証1部,(株)フジ・メディア・ホールディングス,09:34,"1,545",2020/03,44.00,2.85%,掲示板
878,6210,東証1部,東洋機械金属(株),09:31,527,2020/03,15.00,2.85%,掲示板
879,6999,東証1部,ＫＯＡ(株),09:34,"1,265",2020/03,36.00,2.85%,掲示板
880,1766,東証1部,東建コーポレーション(株),09:29,"7,750",2020/04,220.00,2.84%,掲示板
881,4118,東証1部,(株)カネカ,09:34,"3,525",2020/03,100.00,2.84%,掲示板
882,5976,東証1部,ネツレン,09:32,916,2020/03,26.00,2.84%,掲示板
883,6156,東証JQS,(株)エーワン精密,02/06,"2,820",2020/06,80.00,2.84%,掲示板
884,7004,東証1部,日立造船(株),09:33,423,2020/03,12.00,2.84%,掲示板
885,7908,東証1部,ＫＩＭＯＴＯ,09:27,176,2020/03,5.00,2.84%,掲示板
886,8052,東証1部,椿本興業(株),09:34,"4,225",2020/03,120.00,2.84%,掲示板
887,8125,東証1部,(株)ワキタ,09:31,"1,058",2020/02,30.00,2.84%,掲示板
888,1795,東証JQS,(株)マサル,09:00,"3,180",2020/09,90.00,2.83%,掲示板
889,3261,マザーズ,(株)グランディーズ,09:15,495,2019/12,14.00,2.83%,掲示板
890,4116,東証1部,大日精化工業(株),09:33,"2,999",2020/03,85.00,2.83%,掲示板
891,5480,東証1部,日本冶金工業(株),09:34,"2,122",2020/03,60.00,2.83%,掲示板
892,6718,東証1部,アイホン(株),09:32,"1,767",2020/03,50.00,2.83%,掲示板
893,7460,東証2部,(株)ヤギ,09:13,"1,695",2020/03,48.00,2.83%,掲示板
894,8291,東証1部,日産東京販売ホールディングス(株),09:30,283,2020/03,8.00,2.83%,掲示板
895,1815,東証1部,鉄建建設(株),09:00,"2,834",2020/03,80.00,2.82%,掲示板
896,2750,東証JQS,石光商事(株),09:00,426,2020/03,12.00,2.82%,掲示板
897,7022,東証1部,サノヤスホールディングス(株),09:31,177,2020/03,5.00,2.82%,掲示板
898,9368,東証1部,キムラユニティー(株),09:00,"1,133",2020/03,32.00,2.82%,掲示板
899,9536,東証1部,西部ガス(株),09:00,"2,485",2020/03,70.00,2.82%,掲示板
900,1827,東証1部,(株)ナカノフドー建設,09:00,498,2020/03,14.00,2.81%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
