順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
651,9436,東証JQS,沖縄セルラー電話(株),09:30,"4,290",2020/03,136.00,3.17%,掲示板
652,3952,名証2部,中央紙器工業(株),09:00,"1,265",2020/03,40.00,3.16%,掲示板
653,4341,東証2部,西菱電機(株),09:08,885,2020/03,28.00,3.16%,掲示板
654,4668,東証1部,(株)明光ネットワークジャパン,09:33,950,2020/08,30.00,3.16%,掲示板
655,5105,東証1部,ＴＯＹＯ　ＴＩＲＥ(株),09:34,"1,422",2019/12,45.00,3.16%,掲示板
656,5542,東証JQS,新報国製鉄(株),09:18,"1,264",2019/12,40.00,3.16%,掲示板
657,6644,東証1部,大崎電気工業(株),09:33,633,2020/03,20.00,3.16%,掲示板
658,7259,東証1部,アイシン精機(株),09:34,"3,800",2020/03,120.00,3.16%,掲示板
659,8098,東証1部,稲畑産業(株),09:34,"1,520",2020/03,48.00,3.16%,掲示板
660,8399,東証1部,(株)琉球銀行,09:34,"1,109",2020/03,35.00,3.16%,掲示板
661,8928,東証1部,穴吹興産(株),09:20,"1,743",2020/06,55.00,3.16%,掲示板
662,8954,東証,オリックス不動産投資法人,09:34,"239,700",2020/02,"7,580.00",3.16%,掲示板
663,9305,東証1部,(株)ヤマタネ,09:34,"1,584",2020/03,50.00,3.16%,掲示板
664,3877,東証1部,中越パルプ工業(株),09:00,"1,588",2020/03,50.00,3.15%,掲示板
665,4748,東証JQS,(株)構造計画研究所,09:32,"3,175",2020/06,100.00,3.15%,掲示板
666,5121,東証1部,藤倉コンポジット(株),09:33,444,2020/03,14.00,3.15%,掲示板
667,5440,東証1部,共英製鋼(株),09:34,"1,906",2020/03,60.00,3.15%,掲示板
668,6250,東証1部,(株)やまびこ,09:31,"1,112",2019/12,35.00,3.15%,掲示板
669,7966,東証1部,リンテック(株),09:34,"2,475",2020/03,78.00,3.15%,掲示板
670,8015,東証1部,豊田通商(株),09:34,"3,810",2020/03,120.00,3.15%,掲示板
671,9743,東証1部,(株)丹青社,09:34,"1,269",2020/01,40.00,3.15%,掲示板
672,1904,東証JQS,大成温調(株),09:27,"2,228",2020/03,70.00,3.14%,掲示板
673,3423,東証JQS,(株)エスイー,09:27,318,2020/03,10.00,3.14%,掲示板
674,3947,東証2部,ダイナパック(株),09:31,"1,593",2020/12,50.00,3.14%,掲示板
675,5802,東証1部,住友電気工業(株),09:34,"1,526.5",2020/03,48.00,3.14%,掲示板
676,8141,東証1部,新光商事(株),09:03,875,2020/03,27.50,3.14%,掲示板
677,1434,東証2部,ＪＥＳＣＯホールディングス(株),09:33,383,2020/08,12.00,3.13%,掲示板
678,1960,東証2部,(株)サンテック,09:00,766,2020/03,24.00,3.13%,掲示板
679,5921,東証2部,川岸工業(株),09:12,"2,559",2020/09,80.00,3.13%,掲示板
680,6440,東証1部,ＪＵＫＩ(株),09:34,798,2019/12,25.00,3.13%,掲示板
681,7898,東証1部,(株)ウッドワン,09:00,"1,197",2020/03,37.50,3.13%,掲示板
682,8934,東証1部,サンフロンティア不動産(株),09:34,"1,340",2020/03,42.00,3.13%,掲示板
683,8976,東証,大和証券オフィス投資法人,09:32,"865,000",2020/05,"27,100.00",3.13%,掲示板
684,1810,東証1部,松井建設(株),09:30,802,2020/03,25.00,3.12%,掲示板
685,3036,東証1部,アルコニックス(株),09:34,"1,345",2020/03,42.00,3.12%,掲示板
686,3109,東証1部,シキボウ(株),09:34,"1,282",2020/03,40.00,3.12%,掲示板
687,3143,東証2部,オーウイル(株),09:30,"1,282",2020/03,40.00,3.12%,掲示板
688,3238,東証2部,セントラル総合開発(株),09:29,385,2020/03,12.00,3.12%,掲示板
689,4792,東証1部,山田コンサルティンググループ(株),09:34,"1,476",2020/03,46.00,3.12%,掲示板
690,5951,東証1部,ダイニチ工業(株),09:10,704,2020/03,22.00,3.12%,掲示板
691,6925,東証1部,ウシオ電機(株),09:34,"1,605",2020/03,50.00,3.12%,掲示板
692,2374,東証1部,セントケア・ホールディング(株),09:32,482,2020/03,15.00,3.11%,掲示板
693,3943,福証,大石産業(株),02/06,"1,735",2020/03,54.00,3.11%,掲示板
694,4221,東証1部,大倉工業(株),09:31,"1,766",2019/12,55.00,3.11%,掲示板
695,6111,名証2部,旭精機工業(株),09:00,"2,249",2020/03,70.00,3.11%,掲示板
696,6282,東証1部,オイレス工業(株),09:34,"1,609",2020/03,50.00,3.11%,掲示板
697,6302,東証1部,住友重機械工業(株),09:34,"2,929",2020/03,91.00,3.11%,掲示板
698,7475,東証1部,アルビス(株),09:31,"2,250",2020/03,70.00,3.11%,掲示板
699,7921,東証1部,(株)ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,09:31,"1,736",2020/05,54.00,3.11%,掲示板
700,1803,東証1部,清水建設(株),09:33,"1,162",2020/03,36.00,3.10%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
