順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
701,2730,東証1部,(株)エディオン,09:34,"1,096",2020/03,34.00,3.10%,掲示板
702,4044,東証1部,セントラル硝子(株),09:34,"2,417",2020/03,75.00,3.10%,掲示板
703,7220,東証1部,武蔵精密工業(株),09:34,"1,355",2020/03,42.00,3.10%,掲示板
704,7871,東証2部,フクビ化学工業(株),09:21,564,2020/03,17.50,3.10%,掲示板
705,1798,東証JQS,(株)守谷商会,09:00,"2,102",2020/03,65.00,3.09%,掲示板
706,1959,東証1部,(株)九電工,09:34,"3,235",2020/03,100.00,3.09%,掲示板
707,6150,東証JQS,タケダ機械(株),09:00,"2,590",2020/05,80.00,3.09%,掲示板
708,7879,東証2部,(株)ノダ,09:27,810,2020/11,25.00,3.09%,掲示板
709,8346,東証1部,(株)東邦銀行,09:34,259,2020/03,8.00,3.09%,掲示板
710,8392,東証1部,(株)大分銀行,09:27,"2,587",2020/03,80.00,3.09%,掲示板
711,6293,東証1部,日精樹脂工業(株),09:33,975,2020/03,30.00,3.08%,掲示板
712,7198,東証1部,アルヒ(株),09:34,"1,621",2020/03,50.00,3.08%,掲示板
713,8356,東証1部,(株)十六銀行,09:32,"2,275",2020/03,70.00,3.08%,掲示板
714,8955,東証,日本プライムリアルティ投資法人,09:32,"487,000",2020/06,"15,000.00",3.08%,掲示板
715,9744,東証1部,(株)メイテック,09:31,"6,290",2020/03,193.50,3.08%,掲示板
716,1980,東証1部,ダイダン(株),09:32,"2,930",2020/03,90.00,3.07%,掲示板
717,3316,東証JQS,東京日産コンピュータシステム(株),09:00,618,2020/03,19.00,3.07%,掲示板
718,3405,東証1部,(株)クラレ,09:34,"1,366",2019/12,42.00,3.07%,掲示板
719,3434,東証1部,(株)アルファ,09:06,"1,303",2020/03,40.00,3.07%,掲示板
720,3800,東証JQS,(株)ユニリタ,09:33,"2,020",2020/03,62.00,3.07%,掲示板
721,4685,東証JQS,(株)菱友システムズ,02/06,"8,960",2020/03,275.00,3.07%,掲示板
722,5609,東証2部,日本鋳造(株),09:22,814,2020/03,25.00,3.07%,掲示板
723,5966,東証2部,ＫＴＣ(株),09:25,"2,120",2020/03,65.00,3.07%,掲示板
724,6902,東証1部,(株)デンソー,09:34,"4,555",2020/03,140.00,3.07%,掲示板
725,9029,東証2部,(株)ヒガシトゥエンティワン,09:33,586,2020/03,18.00,3.07%,掲示板
726,2804,東証2部,ブルドックソース(株),09:26,"1,142",2020/03,35.00,3.06%,掲示板
727,3282,東証,コンフォリア・レジデンシャル投資法人,09:33,"345,000",2020/07,"10,540.00",3.06%,掲示板
728,3283,東証,日本プロロジスリート投資法人,09:30,"304,500",2020/05,"9,332.00",3.06%,掲示板
729,5356,名証2部,美濃窯業(株),09:01,490,2020/03,15.00,3.06%,掲示板
730,8138,東証2部,三京化成(株),02/06,"2,781",2020/03,85.00,3.06%,掲示板
731,8987,東証,ジャパンエクセレント投資法人,09:34,"194,500",2020/06,"5,960.00",3.06%,掲示板
732,2689,東証2部,(株)カワニシホールディングス,09:00,"1,313",2020/06,40.00,3.05%,掲示板
733,2780,東証2部,(株)コメ兵,09:29,"1,048",2020/03,32.00,3.05%,掲示板
734,4538,東証1部,扶桑薬品工業(株),09:00,"1,965",2020/03,60.00,3.05%,掲示板
735,5809,東証1部,タツタ電線(株),09:34,591,2020/03,18.00,3.05%,掲示板
736,6073,東証1部,(株)アサンテ,09:33,"1,966",2020/03,60.00,3.05%,掲示板
737,7509,東証JQS,アイエーグループ(株),02/03,"3,940",2020/03,120.00,3.05%,掲示板
738,7870,名証2部,福島印刷(株),09:03,394,2020/08,12.00,3.05%,掲示板
739,7923,東証JQS,トーイン(株),09:27,491,2020/03,15.00,3.05%,掲示板
740,8039,東証2部,築地魚市場(株),02/04,982,2020/03,30.00,3.05%,掲示板
741,9303,東証1部,(株)住友倉庫,09:34,"1,510",2020/03,46.00,3.05%,掲示板
742,4627,東証JQS,ナトコ(株),09:00,"1,316",2020/10,40.00,3.04%,掲示板
743,4642,東証2部,オリジナル設計(株),09:34,988,2019/12,30.00,3.04%,掲示板
744,7896,東証2部,セブン工業(株),02/06,"1,482",2020/03,45.00,3.04%,掲示板
745,8387,東証1部,(株)四国銀行,09:26,986,2020/03,30.00,3.04%,掲示板
746,8909,東証JQS,(株)シノケングループ,09:34,"1,250",2019/12,38.00,3.04%,掲示板
747,2136,東証JQS,(株)ヒップ,09:00,791,2020/03,24.00,3.03%,掲示板
748,3528,東証2部,(株)プロスペクト,09:31,33,2020/03,1.00,3.03%,掲示板
749,5184,東証2部,(株)ニチリン,09:29,"1,980",2019/12,60.00,3.03%,掲示板
750,5285,東証JQS,(株)ヤマックス,02/06,"1,982",2020/03,60.00,3.03%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
