順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
301,5444,東証1部,大和工業(株),09:32,"2,637",2020/03,100.00,3.79%,掲示板
302,7261,東証1部,マツダ(株),09:34,925,2020/03,35.00,3.78%,掲示板
303,8383,東証1部,(株)鳥取銀行,09:02,"1,322",2020/03,50.00,3.78%,掲示板
304,8570,東証1部,イオンフィナンシャルサービス(株),09:33,"1,799",2020/02,68.00,3.78%,掲示板
305,8897,東証1部,(株)タカラレーベン,09:32,503,2020/03,19.00,3.78%,掲示板
306,8904,東証1部,(株)ＡＶＡＮＴＩＡ,09:18,"1,004",2020/08,38.00,3.78%,掲示板
307,9506,東証1部,東北電力(株),09:33,"1,059",2020/03,40.00,3.78%,掲示板
308,9508,東証1部,九州電力(株),09:33,926,2020/03,35.00,3.78%,掲示板
309,4182,東証1部,三菱ガス化学(株),09:34,"1,855",2020/03,70.00,3.77%,掲示板
310,4750,東証2部,(株)ダイサン,09:32,689,2020/04,26.00,3.77%,掲示板
311,8961,東証,森トラスト総合リート投資法人,09:33,"197,400",2020/03,"7,446.00",3.77%,掲示板
312,3504,名証2部,(株)丸八ホールディングス,02/06,797,2020/03,30.00,3.76%,掲示板
313,5195,東証1部,バンドー化学(株),09:31,851,2020/03,32.00,3.76%,掲示板
314,5915,東証1部,(株)駒井ハルテック,02/06,"1,860",2020/03,70.00,3.76%,掲示板
315,6121,東証1部,(株)滝澤鉄工所,09:22,"1,330",2020/03,50.00,3.76%,掲示板
316,7283,東証1部,愛三工業(株),09:33,718,2020/03,27.00,3.76%,掲示板
317,7823,東証1部,(株)アートネイチャー,09:34,744,2020/03,28.00,3.76%,掲示板
318,7877,東証JQS,永大化工(株),09:09,"1,728",2020/03,65.00,3.76%,掲示板
319,2174,東証1部,ＧＣＡ(株),09:34,934,2019/12,35.00,3.75%,掲示板
320,5603,東証1部,虹技(株),09:30,"1,335",2020/03,50.00,3.75%,掲示板
321,5985,東証1部,サンコール(株),09:32,533,2020/03,20.00,3.75%,掲示板
322,6462,東証1部,(株)リケン,09:31,"3,730",2020/03,140.00,3.75%,掲示板
323,7637,東証1部,白銅(株),09:33,"1,548",2020/03,58.00,3.75%,掲示板
324,8203,東証1部,(株)ＭｒＭａｘＨＤ,09:31,480,2020/02,18.00,3.75%,掲示板
325,8381,東証1部,(株)山陰合同銀行,09:32,640,2020/03,24.00,3.75%,掲示板
326,2778,東証2部,パレモ・ホールディングス(株),09:33,321,2020/02,12.00,3.74%,掲示板
327,2972,東証,サンケイリアルエステート投資法人,09:30,"135,100",2020/02,"5,047.00",3.74%,掲示板
328,4845,東証1部,(株)スカラ,09:34,749,2020/06,28.00,3.74%,掲示板
329,7860,東証1部,エイベックス(株),09:34,"1,337",2020/03,50.00,3.74%,掲示板
330,9640,東証JQS,(株)セゾン情報システムズ,09:27,"2,270",2020/03,85.00,3.74%,掲示板
331,4760,東証JQS,(株)アルファ,02/05,"1,607",2020/08,60.00,3.73%,掲示板
332,6083,東証1部,ＥＲＩホールディングス(株),09:30,805,2020/05,30.00,3.73%,掲示板
333,9312,東証1部,ケイヒン(株),09:23,"1,342",2020/03,50.00,3.73%,掲示板
334,1929,東証1部,日特建設(株),09:26,861,2020/03,32.00,3.72%,掲示板
335,7011,東証1部,三菱重工業(株),09:34,"4,028",2020/03,150.00,3.72%,掲示板
336,9412,東証1部,(株)スカパーＪＳＡＴホールディングス,09:33,484,2020/03,18.00,3.72%,掲示板
337,1972,東証1部,三晃金属工業(株),09:00,"2,694",2020/03,100.00,3.71%,掲示板
338,2715,東証1部,エレマテック(株),09:29,"1,052",2020/03,39.00,3.71%,掲示板
339,5021,東証1部,コスモエネルギーホールディングス(株),09:34,"2,158",2020/03,80.00,3.71%,掲示板
340,8885,東証JQG,(株)ラ・アトレ,09:29,"1,212",2019/12,45.00,3.71%,掲示板
341,9832,東証1部,(株)オートバックスセブン,09:32,"1,618",2020/03,60.00,3.71%,掲示板
342,1821,東証1部,三井住友建設(株),09:34,648,2020/03,24.00,3.70%,掲示板
343,3375,東証JQS,(株)ＺＯＡ,09:17,810,2020/03,30.00,3.70%,掲示板
344,4246,東証1部,ダイキョーニシカワ(株),09:33,810,2020/03,30.00,3.70%,掲示板
345,4745,東証1部,(株)東京個別指導学院,09:31,702,2020/02,26.00,3.70%,掲示板
346,6358,東証1部,酒井重工業(株),09:19,"2,702",2020/03,100.00,3.70%,掲示板
347,6772,東証2部,東京コスモス電機(株),02/06,"1,080",2020/03,40.00,3.70%,掲示板
348,7670,東証2部,オーウエル(株),09:32,731,2020/03,27.00,3.69%,掲示板
349,8115,東証2部,ムーンバット(株),09:00,814,2020/03,30.00,3.69%,掲示板
350,8377,東証1部,(株)ほくほくフィナンシャルグループ,09:32,"1,085",2020/03,40.00,3.69%,掲示板
順位,コード,市場,名称,取引値,決算年月,1株配当,配当利回り,掲示板
